Durable goods,621.7,656.4,688.8,717.2,749.6,784.2
Wood products,20.3,21,21.6,22.2,22.8,23.5
Nonmetallic mineral products,40.8,42.8,44.7,46.1,47.9,49.8
Primary metals,105.5,106.7,108.5,111,114.1,117.8
Fabricated metal products,68.8,72.7,76.2,79.1,82.3,86.3
Machinery,77.9,81.5,84.9,88.3,92.4,97.1
Computer and electronic products,113.9,122,130.1,138.5,147.3,156.3
"Electrical equipment, appliances, and components",35.5,37.3,38.2,39.5,41.1,42.9
"Motor vehicles, bodies and trailers, and parts",61.5,66.6,70.6,71.9,75,78.8
Other transportation equipment,57.9,63.9,69.2,73.4,76.7,79.3
Furniture and related products,6.9,7.4,7.9,8.4,9,9.5
Miscellaneous manufacturing,32.7,34.5,36.9,38.8,41,43.1
Nondurable goods,494.2,518.3,544.2,575,611,652.8