Durable goods,41.1,37.3,37.6,36,42.3,44
Wood products,1.4,1.4,1.5,1.4,1.7,1.6
Nonmetallic mineral products,2.8,2.5,2.6,2.2,2.9,2.7
Primary metals,4.4,3,3.6,4.2,4.8,5
Fabricated metal products,4.4,4.4,4.5,4.2,4.7,4.9
Machinery,5,4.2,4.3,4.3,4.8,5.1
Computer and electronic products,8.9,7.8,7.8,8.4,9.7,10.1
"Electrical equipment, appliances, and components",3,2.6,2.1,2.3,2.6,2.7
"Motor vehicles, bodies and trailers, and parts",5.3,5.4,5.3,3.2,4.9,5.6
Other transportation equipment,3.2,3.5,3.1,3,2.9,3.2
Furniture and related products,0.5,0.5,0.6,0.6,0.7,0.7
Miscellaneous manufacturing,2.1,1.9,2.3,2.3,2.6,2.4
Nondurable goods,31.1,30,30.2,34.9,41.8,45.7