Durable goods,91.6,88.4,88.8,89.2,99.9,103.6
Wood products,1.8,1.8,1.9,1.8,2.1,2
Nonmetallic mineral products,4.6,4.2,4.3,4,4.8,4.8
Primary metals,6.4,4.6,5.2,5.9,6.9,7.4
Fabricated metal products,6.9,6.7,6.7,6.5,7.4,7.8
Machinery,10.5,9,8.9,9.3,10.7,11.4
Computer and electronic products,24.4,23.3,24.1,25.8,27.9,29.3
"Electrical equipment, appliances, and components",5.2,5,4,4.5,5,5.3
"Motor vehicles, bodies and trailers, and parts",13.6,15,14.5,12.5,15.5,16.3
Other transportation equipment,12.5,13.5,13.3,12.9,13,12.5
Furniture and related products,0.8,0.9,0.9,1,1.1,1
Miscellaneous manufacturing,4.7,4.4,5,5,5.6,5.8
Nondurable goods,54.5,52,53.8,60.9,72.1,79